# Units are in mm. ECal is shifted by +40 mm in y relative to previous output.
# Coordinates are relative to ECal center, same system as G4SBS
# Number of logic patterns = 16
# Type 42: 999
# Type 40: 697
# Type 38: 81
# Total number of modules: 1777

#cell    x    y   size
 1440  -600   910   40
 1441  -560   910   40
 1442  -520   910   40
 1443  -480   910   40
 1465  -620   950   40
 1466  -580   950   40
 1467  -540   950   40
 1468  -500   950   40
 1490  -600   990   40
 1491  -560   990   40
 1492  -520   990   40
 1493  -480   990   40
 1515  -620  1030   40
 1516  -580  1030   40
 1517  -540  1030   40
 1518  -500  1030   40
 1538  -600  1070   40
 1539  -560  1070   40
 1540  -520  1070   40
 1541  -480  1070   40
 1561  -620  1110   40
 1562  -580  1110   40
 1563  -540  1110   40
 1564  -500  1110   40
 1584  -600  1150   40
 1585  -560  1150   40
 1586  -520  1150   40
 1587  -480  1150   40
 1607  -620  1190   40
 1608  -580  1190   40
 1609  -540  1190   40
 1610  -500  1190   40
######################
 1328  -600   750   40
 1329  -560   750   40
 1330  -520   750   40
 1331  -480   750   40
 1357  -620   790   40
 1358  -580   790   40
 1359  -540   790   40
 1360  -500   790   40
 1386  -600   830   40
 1387  -560   830   40
 1388  -520   830   40
 1389  -480   830   40
 1415  -620   870   40
 1416  -580   870   40
 1417  -540   870   40
 1418  -500   870   40
 1440  -600   910   40
 1441  -560   910   40
 1442  -520   910   40
 1443  -480   910   40
 1465  -620   950   40
 1466  -580   950   40
 1467  -540   950   40
 1468  -500   950   40
 1490  -600   990   40
 1491  -560   990   40
 1492  -520   990   40
 1493  -480   990   40
 1515  -620  1030   40
 1516  -580  1030   40
 1517  -540  1030   40
 1518  -500  1030   40
######################
 1212  -600   590   40
 1213  -560   590   40
 1214  -520   590   40
 1215  -480   590   40
 1241  -620   630   40
 1242  -580   630   40
 1243  -540   630   40
 1244  -500   630   40
 1270  -600   670   40
 1271  -560   670   40
 1272  -520   670   40
 1273  -480   670   40
 1299  -620   710   40
 1300  -580   710   40
 1301  -540   710   40
 1302  -500   710   40
 1328  -600   750   40
 1329  -560   750   40
 1330  -520   750   40
 1331  -480   750   40
 1357  -620   790   40
 1358  -580   790   40
 1359  -540   790   40
 1360  -500   790   40
 1386  -600   830   40
 1387  -560   830   40
 1388  -520   830   40
 1389  -480   830   40
 1415  -620   870   40
 1416  -580   870   40
 1417  -540   870   40
 1418  -500   870   40
######################
 1096  -520   430   40
 1097  -480   430   40
 1125  -540   470   40
 1126  -500   470   40
 1154  -520   510   40
 1155  -480   510   40
 1183  -620   550   40
 1184  -580   550   40
 1185  -540   550   40
 1186  -500   550   40
 1212  -600   590   40
 1213  -560   590   40
 1214  -520   590   40
 1215  -480   590   40
 1241  -620   630   40
 1242  -580   630   40
 1243  -540   630   40
 1244  -500   630   40
 1270  -600   670   40
 1271  -560   670   40
 1272  -520   670   40
 1273  -480   670   40
 1299  -620   710   40
 1300  -580   710   40
 1301  -540   710   40
 1302  -500   710   40
######################
  986  -440   270   40
  987  -400   270   40
 1013  -460   310   40
 1014  -420   310   40
 1040  -440   350   40
 1041  -400   350   40
 1067  -540   390   40
 1068  -500   390   40
 1069  -460   390   40
 1070  -420   390   40
 1096  -520   430   40
 1097  -480   430   40
 1098  -440   430   40
 1099  -400   430   40
 1125  -540   470   40
 1126  -500   470   40
 1127  -460   470   40
 1128  -420   470   40
 1154  -520   510   40
 1155  -480   510   40
 1156  -440   510   40
 1157  -400   510   40
 1185  -540   550   40
 1186  -500   550   40
 1187  -460   550   40
 1188  -420   550   40
######################
  886  -438   103   42
  887  -396   103   42
  888  -354   103   42
  889  -312   103   42
  911  -459   145   42
  912  -417   145   42
  913  -375   145   42
  914  -333   145   42
  936  -438   187   42
  937  -396   187   42
  938  -354   187   42
  939  -312   187   42
  961  -459   229   42
  962  -417   229   42
  963  -375   229   42
  964  -333   229   42
  986  -440   270   40
  987  -400   270   40
  988  -360   270   40
  989  -320   270   40
 1013  -460   310   40
 1014  -420   310   40
 1015  -380   310   40
 1016  -340   310   40
 1040  -440   350   40
 1041  -400   350   40
 1042  -360   350   40
 1043  -320   350   40
 1069  -460   390   40
 1070  -420   390   40
 1071  -380   390   40
 1072  -340   390   40
######################
  811  -459   -23   42
  812  -417   -23   42
  813  -375   -23   42
  814  -333   -23   42
  836  -438    19   42
  837  -396    19   42
  838  -354    19   42
  839  -312    19   42
  861  -459    61   42
  862  -417    61   42
  863  -375    61   42
  864  -333    61   42
  886  -438   103   42
  887  -396   103   42
  888  -354   103   42
  889  -312   103   42
  911  -459   145   42
  912  -417   145   42
  913  -375   145   42
  914  -333   145   42
  936  -438   187   42
  937  -396   187   42
  938  -354   187   42
  939  -312   187   42
  961  -459   229   42
  962  -417   229   42
  963  -375   229   42
  964  -333   229   42
  986  -440   270   40
  987  -400   270   40
  988  -360   270   40
  989  -320   270   40
######################
  711  -459  -191   42
  712  -417  -191   42
  713  -375  -191   42
  714  -333  -191   42
  736  -438  -149   42
  737  -396  -149   42
  738  -354  -149   42
  739  -312  -149   42
  761  -459  -107   42
  762  -417  -107   42
  763  -375  -107   42
  764  -333  -107   42
  786  -438   -65   42
  787  -396   -65   42
  788  -354   -65   42
  789  -312   -65   42
  811  -459   -23   42
  812  -417   -23   42
  813  -375   -23   42
  814  -333   -23   42
  836  -438    19   42
  837  -396    19   42
  838  -354    19   42
  839  -312    19   42
  861  -459    61   42
  862  -417    61   42
  863  -375    61   42
  864  -333    61   42
  886  -438   103   42
  887  -396   103   42
  888  -354   103   42
  889  -312   103   42
######################
  609  -455  -359   42
  610  -413  -359   42
  611  -371  -359   42
  612  -329  -359   42
  635  -476  -317   42
  636  -434  -317   42
  637  -392  -317   42
  638  -350  -317   42
  661  -459  -275   42
  662  -417  -275   42
  663  -375  -275   42
  664  -333  -275   42
  686  -438  -233   42
  687  -396  -233   42
  688  -354  -233   42
  689  -312  -233   42
  711  -459  -191   42
  712  -417  -191   42
  713  -375  -191   42
  714  -333  -191   42
  736  -438  -149   42
  737  -396  -149   42
  738  -354  -149   42
  739  -312  -149   42
  761  -459  -107   42
  762  -417  -107   42
  763  -375  -107   42
  764  -333  -107   42
  786  -438   -65   42
  787  -396   -65   42
  788  -354   -65   42
  789  -312   -65   42
######################
  501  -535  -527   42
  502  -493  -527   42
  503  -451  -527   42
  504  -409  -527   42
  527  -556  -485   42
  528  -514  -485   42
  529  -472  -485   42
  530  -430  -485   42
  553  -539  -443   42
  554  -497  -443   42
  555  -455  -443   42
  556  -413  -443   42
  580  -518  -401   42
  581  -476  -401   42
  582  -434  -401   42
  583  -392  -401   42
  607  -539  -359   42
  608  -497  -359   42
