# Units are in mm. ECal is shifted by +40 mm in y relative to previous output.
# Coordinates are relative to ECal center, same system as G4SBS
# Number of logic patterns = 4
# Type 42: 999
# Type 40: 697
# Type 38: 81
# Total number of modules: 1777

#cell    x    y   size
  391  -619  -695   42
  392  -577  -695   42
  393  -535  -695   42
  394  -493  -695   42
  418  -598  -653   42
  419  -556  -653   42
  420  -514  -653   42
  421  -472  -653   42
  445  -619  -611   42
  446  -577  -611   42
  447  -535  -611   42
  448  -493  -611   42
  472  -598  -569   42
  473  -556  -569   42
  474  -514  -569   42
  475  -472  -569   42
  499  -619  -527   42
  500  -577  -527   42
  501  -535  -527   42
  502  -493  -527   42
  526  -598  -485   42
  527  -556  -485   42
  528  -514  -485   42
  529  -472  -485   42
  553  -539  -443   42
  554  -497  -443   42
  580  -518  -401   42
  581  -476  -401   42
######################
  393  -535  -695   42
  394  -493  -695   42
  395  -451  -695   42
  396  -409  -695   42
  419  -556  -653   42
  420  -514  -653   42
  421  -472  -653   42
  422  -430  -653   42
  447  -535  -611   42
  448  -493  -611   42
  449  -451  -611   42
  450  -409  -611   42
  473  -556  -569   42
  474  -514  -569   42
  475  -472  -569   42
  476  -430  -569   42
  501  -535  -527   42
  502  -493  -527   42
  503  -451  -527   42
  504  -409  -527   42
  527  -556  -485   42
  528  -514  -485   42
  529  -472  -485   42
  530  -430  -485   42
  553  -539  -443   42
  554  -497  -443   42
  555  -455  -443   42
  556  -413  -443   42
  580  -518  -401   42
  581  -476  -401   42
  582  -434  -401   42
  583  -392  -401   42
######################
  395  -451  -695   42
  396  -409  -695   42
  397  -367  -695   42
  398  -325  -695   42
  421  -472  -653   42
  422  -430  -653   42
  423  -388  -653   42
  424  -346  -653   42
  449  -451  -611   42
  450  -409  -611   42
  451  -367  -611   42
  452  -325  -611   42
  475  -472  -569   42
  476  -430  -569   42
  477  -388  -569   42
  478  -346  -569   42
  503  -451  -527   42
  504  -409  -527   42
  505  -367  -527   42
  506  -325  -527   42
  529  -472  -485   42
  530  -430  -485   42
  531  -388  -485   42
  532  -346  -485   42
  555  -455  -443   42
  556  -413  -443   42
  557  -371  -443   42
  558  -329  -443   42
  581  -476  -401   42
  582  -434  -401   42
  583  -392  -401   42
  584  -350  -401   42
######################
  397  -367  -695   42
  398  -325  -695   42
  399  -283  -695   42
  400  -241  -695   42
  423  -388  -653   42
  424  -346  -653   42
  425  -304  -653   42
  426  -262  -653   42
  451  -367  -611   42
  452  -325  -611   42
  453  -283  -611   42
  454  -241  -611   42
  477  -388  -569   42
  478  -346  -569   42
  479  -304  -569   42
  480  -262  -569   42
  505  -367  -527   42
  506  -325  -527   42
  507  -283  -527   42
  508  -241  -527   42
  531  -388  -485   42
  532  -346  -485   42
  533  -304  -485   42
  534  -262  -485   42
  557  -371  -443   42
  558  -329  -443   42
  559  -287  -443   42
  560  -245  -443   42
  583  -392  -401   42
  584  -350  -401   42
  585  -308  -401   42
  586  -266  -401   42
######################
